Shipment Mode,Shipments,Average_Freight_Cost,Median_Freight_Cost,Average_Freight_Cost_per_KG,Median_Freight_Cost_per_KG
Air,6113,10458.960753341435,4764.16,33.52045768694116,10.024019808611591
Air Charter,650,21052.142641509436,15322.73,162.32892875891395,4.317785194174758
Ocean,371,12733.080815602838,9520.975,20.662665611969857,1.6810197953137624
Truck,2830,10176.405,5985.84,14.44080492244196,2.5032950842130273
Unknown,360,6619.433222748815,2921.0,55.841524016710295,4.654915254237289
