Product Group,Shipments,Total_Quantity,Total_Value,Average_Cost_per_Unit,Average_Freight_Cost,Average_Delay,On_Time_Rate
ARV,8550,185008389,1413220072.88,12.72662499791678,10637.512467640918,-7.244093567251462,87.45029239766082
HRDT,1728,4098414,213344761.81,67.16423451886759,12840.365437956203,-0.011574074074074073,93.46064814814815
ANTM,22,21023,274176.56,26.69454545454545,7929.770526315789,-2.772727272727273,100.0
ACT,16,134286,664380.94,31.425625,8759.196153846155,-10.5625,100.0
MRDT,8,2978,81065.1,29.83125,1388.1416666666664,0.0,100.0
