Shipment Mode,Shipments,Average_Delay,On_Time_Rate,Average_Freight_Cost,Average_Freight_Cost_per_KG
Air,6113,-3.763782103713398,90.39751349582856,10458.960753341435,33.52045768694116
Truck,2830,-9.92190812720848,83.92226148409894,10176.405,14.44080492244196
Air Charter,650,-19.036923076923078,88.46153846153845,21052.142641509436,162.32892875891395
Ocean,371,5.870619946091645,82.47978436657682,12733.080815602838,20.662665611969857
Unknown,360,-2.511111111111111,98.88888888888889,6619.433222748815,55.841524016710295
