,Line Item Quantity,Line Item Value,Pack Price,Unit Price,Weight (Kilograms),Freight Cost (USD),Freight Cost per KG,Cost per Unit,Delivery Delay Days
Line Item Quantity,1.0,0.8390814425828667,-0.1336506494216314,-0.05222724775839664,0.35583976694408936,0.3782890779913592,-0.028549003986193134,-0.13365049760946832,-0.02966409803698949
Line Item Value,0.8390814425828667,1.0,-0.01880862278596183,-0.019583215641903795,0.3513720363982745,0.42967638403686254,-0.027693502987422222,-0.01880849989185504,-0.01563809963449627
Pack Price,-0.1336506494216314,-0.01880862278596183,1.0,0.25004265556528593,-0.04104223599419756,-0.01797122118822746,0.0022119880921147323,0.9999999998562354,0.06300753590544635
Unit Price,-0.05222724775839664,-0.019583215641903795,0.25004265556528593,1.0,-0.014296807930920816,0.08283175326662699,0.004590909932674198,0.25004264757217487,0.031129943193834487
Weight (Kilograms),0.35583976694408936,0.3513720363982745,-0.04104223599419756,-0.014296807930920816,1.0,0.232052304871888,-0.015404942275047096,-0.04104224256889444,-0.03282441899931416
Freight Cost (USD),0.3782890779913592,0.42967638403686254,-0.01797122118822746,0.08283175326662699,0.232052304871888,1.0,0.06906138671991571,-0.01797122613419101,-0.03677912797241577
Freight Cost per KG,-0.028549003986193134,-0.027693502987422222,0.0022119880921147323,0.004590909932674198,-0.015404942275047096,0.06906138671991571,1.0,0.0022119912626578178,-0.022973772219408113
Cost per Unit,-0.13365049760946832,-0.01880849989185504,0.9999999998562354,0.25004264757217487,-0.04104224256889444,-0.01797122613419101,0.0022119912626578178,1.0,0.06300744937874553
Delivery Delay Days,-0.02966409803698949,-0.01563809963449627,0.06300753590544635,0.031129943193834487,-0.03282441899931416,-0.03677912797241577,-0.022973772219408113,0.06300744937874553,1.0
