Feature,Importance
categorical__Product Group_ARV,1.4737458763913805e-05
categorical__Vendor_Abbott GmbH & Co. KG,1.4477860829989672e-05
categorical__Vendor_EMCURE PHARMACEUTICALS LTD,1.4150836201094307e-05
"categorical__Manufacturing Site_Cipla, Patalganga, India",1.4129074906278549e-05
"categorical__Vendor_Trinity Biotech, Plc",1.24624830067472e-05
categorical__Product Group_ANTM,1.1989811892280793e-05
categorical__Sub Classification_Malaria,8.843813548525618e-06
categorical__Country_Benin,8.447222506637666e-06
categorical__Country_Sudan,8.115321337089214e-06
categorical__Country_Vietnam,7.99130143171304e-06
categorical__Vendor_BIO-RAD LABORATORIES (FRANCE),7.256353161725251e-06
categorical__Manufacturing Site_Bio-Rad Laboratories,7.098286585536775e-06
"categorical__Manufacturing Site_Trinity Biotech, Plc",7.015069764452185e-06
"categorical__Manufacturing Site_Standard Diagnostics, Korea",5.883538625280939e-06
categorical__Manufacturing Site_Macleods Daman Plant INDIA,5.837276445394424e-06
categorical__Product Group_ACT,4.567810408760251e-06
"categorical__Manufacturing Site_KHB Test Kit Facility, Shanghai China",4.091581514725136e-06
categorical__Vendor_ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),4.004743006714016e-06
categorical__Vendor_ASPEN PHARMACARE,2.931549712453472e-06
categorical__Vendor_STRIDES ARCOLAB LIMITED,2.565434961441951e-06
"categorical__Manufacturing Site_Micro Labs Ltd. (Brown & Burk), India",2.412953814326517e-06
"categorical__Vendor_Standard Diagnostics, Inc.",2.1807760066832256e-06
categorical__Sub Classification_HIV test - Ancillary,2.107961007975979e-06
categorical__Manufacturing Site_Bristol-Myers Squibb Anagni IT,1.846390295473369e-06
categorical__Manufacturing Site_GSK Crawley,1.6622697486535762e-06
categorical__Vendor_Orasure Technologies Inc.,1.2525173951038413e-06
categorical__Manufacturing Site_Ipca Dadra/Nagar Haveli IN,1.1692469379850623e-06
"categorical__Vendor_SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)",4.3113864268947606e-07
"categorical__Manufacturing Site_Pacific Biotech, Thailand",3.065153547059316e-07
categorical__Vendor INCO Term_FCA,4.916676889225432e-08
categorical__Country_Namibia,3.746165369685911e-08
categorical__Vendor INCO Term_DAP,3.497908659077989e-08
categorical__Vendor_SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),9.447785867940358e-09
"categorical__Manufacturing Site_Remedica, Limassol, Cyprus",0.0
"categorical__Manufacturing Site_OMEGA Diagnostics, UK",0.0
"categorical__Manufacturing Site_Orasure Technologies, Inc",0.0
"categorical__Manufacturing Site_GSK, U1, Poznan, Poland",0.0
"categorical__Manufacturing Site_Orasure Technologies, Inc USA",0.0
categorical__Manufacturing Site_Premier Medical Corporation,0.0
categorical__Manufacturing Site_Ranbaxy Fine Chemicals LTD,0.0
categorical__Manufacturing Site_Ranbaxy per Shasun Pharma Ltd,0.0
categorical__Manufacturing Site_Roche Madrid,0.0
"categorical__Manufacturing Site_Janssen Ortho LLC, Puerto Rico",0.0
"categorical__Manufacturing Site_Weifa A.S., Hausmanngt. 6, P.O. Box 9113 GrÃ_x0083_Â_x0083_Ã_x0082_Â¸nland, 0133, Oslo, Norway",0.0
categorical__Manufacturing Site_bioLytical Laboratories,0.0
categorical__Vendor INCO Term_CIF,0.0
categorical__Country_Afghanistan,0.0
categorical__Managed By_Ethiopia Field Office,0.0
categorical__Managed By_Haiti Field Office,0.0
categorical__Manufacturing Site_Not Applicable,0.0
"categorical__Manufacturing Site_Micro Labs, Hosur, India",0.0
categorical__Manufacturing Site_Mepro Pharm Wadhwan Unit II,0.0
categorical__Manufacturing Site_Gland Pharma Ltd Pally Factory,0.0
categorical__Manufacturing Site_Inverness USA,0.0
"categorical__Manufacturing Site_Janssen-Cilag, Latina, IT",0.0
categorical__Manufacturing Site_MSD Elkton USA,0.0
categorical__Manufacturing Site_INVERNESS ORGENICS LINE,0.0
"categorical__Manufacturing Site_MSD Manati, Puerto Rico, (USA)",0.0
categorical__Manufacturing Site_INVERNESS ANY,0.0
categorical__Manufacturing Site_Human Diagnostic,0.0
"categorical__Manufacturing Site_MSD Patheon, Canada",0.0
categorical__Manufacturing Site_MSD South Granville Australia,0.0
categorical__Manufacturing Site_MedMira Inc.,0.0
categorical__Manufacturing Site_Meditab (for Cipla) Daman IN,0.0
"categorical__Manufacturing Site_Guilin OSD site, No 17, China",0.0
"categorical__Manufacturing Site_Medochemie Factory A, CY",0.0
"categorical__Manufacturing Site_Gland Pharma, Hyderabad, IN",0.0
"categorical__Manufacturing Site_Medopharm Malur Factory, INDIA",0.0
"categorical__Manufacturing Site_Novartis Pharma Suffern, USA",0.0
categorical__Vendor_SUB-SAHARAN BIOMEDICAL P.L.C.,0.0
