Shipment Mode,Shipments,Average_Actual_Delay,Average_Predicted_Delay,Average_Freight_Cost,Prediction Gap
Ocean,80,9.45,6.243339965826787,11755.819838709676,3.206660034173212
Air,1210,-3.419834710743802,-3.78179225281382,10845.891444444445,0.36195754207001807
Unknown,72,-1.2083333333333333,-8.859034128323765,6417.9325,7.650700794990432
Truck,577,-10.88214904679376,-9.31201312087847,9152.147387387387,-1.5701359259152898
Air Charter,126,-22.023809523809526,-18.20478940003138,23815.62901234568,-3.819020123778145
